Months,Model
17.58,Original
3.09,Original
3.65,Original
9.17,Original
47.9,Original
2.53,Original
36.83,Original
16.69,Original
3.29,Original
2.69,Original
11.37,Original
17.05,Original
5.42,Original
8.34,Original
20.96,Original
4.83,Original
5.03,Original
3.75,Original
23.88,Original
34.43,Original
18.63,Original
36.17,Original
1.61,Original
17.71,Original
26.28,Original
5.91,Original
6.27,Original
0.0,Original
20.53,Original
13.362929332438299,Multivariate
12.687735404949812,Multivariate
17.153550873092968,Multivariate
17.313708619456374,Multivariate
27.75225565801768,Multivariate
15.112735036786896,Multivariate
25.051904206302915,Multivariate
17.962948948188846,Multivariate
96.18972418273273,Multivariate
23.75551379675884,Multivariate
72.43874926899022,Multivariate
17.78188640102554,Multivariate
25.09107485984736,Multivariate
64.19586030754195,Multivariate
35.375573801884954,Multivariate
27.791297680792763,Multivariate
23.42627780644462,Multivariate
82.26729128092218,Multivariate
11.739098628167092,Multivariate
19.57504575907205,Multivariate
4.788111544845769,Multivariate
16.371181912876995,Multivariate
6.422185948331068,Multivariate
16.921321928508192,Multivariate
8.622677577890496,Multivariate
4.7347213963559085,Multivariate
2.652258635260967,Multivariate
15.616193618663882,Multivariate
14.843422381227569,Multivariate
11.027241107599787,Multivariate
5.662604024237542,Multivariate
21.814566444206694,Multivariate
17.277411424966182,Multivariate
5.202919923432685,Multivariate
11.380042890860274,Multivariate
29.111110266938343,Multivariate
12.474577229596493,Multivariate
42.04533015328698,Multivariate
31.454899566140824,Multivariate
7.119353268074683,Multivariate
9.993935014243606,Multivariate
17.28012026637216,Multivariate
34.918422005792735,Multivariate
95.22466991447604,Multivariate
22.61434403869508,Multivariate
21.01338145708321,Multivariate
40.42371289007394,Multivariate
15.681882735225875,Multivariate
74.52934745461447,Multivariate
23.812672976599526,Multivariate
19.25499219333838,Multivariate
28.78274706516822,Multivariate
63.38866608704332,Multivariate
13.733378453929728,Multivariate
11.597396616809597,Multivariate
9.014727289622666,Multivariate
68.70740156525031,Multivariate
92.29483509541022,Multivariate
10.29277761425647,Multivariate
51.50256969167697,Multivariate
16.81454299968798,Multivariate
27.3296660971451,Multivariate
17.387963590789916,Multivariate
23.331495076655717,Multivariate
7.371145009220342,Multivariate
22.03684994436406,Multivariate
13.508968878729267,Multivariate
18.15277825235448,Multivariate
14.99631425528798,Multivariate
20.972164633373055,Multivariate
17.564851945556896,Multivariate
5.981282346495149,Multivariate
10.191817634385556,Multivariate
15.736997547059584,Multivariate
2.2972154245002265,Multivariate
16.81454299968798,Multivariate
11.596264333721408,Multivariate
23.873966697958565,Multivariate
2.557376410686869,Multivariate
16.81454299968798,Multivariate
32.55080783927194,Multivariate
14.876100680055625,Multivariate
9.83897187724405,Multivariate
11.83802884135467,Multivariate
19.789264517008526,Multivariate
47.57749965945972,Multivariate
4.585964818920376,Multivariate
12.971432404504924,Multivariate
6.044542800639526,Multivariate
20.85666370706837,Multivariate
1.120617997913234,Multivariate
10.113490880052455,Multivariate
8.839902131054462,Multivariate
25.293081146206028,Multivariate
13.541536173652538,Multivariate
16.26745779867902,Multivariate
13.006807939400653,Multivariate
16.812916875135762,Multivariate
