Study ID	Patient ID	Sample ID	Mutation Count
gbm_tcga	TCGA-19-2629	TCGA-19-2629-01	99
gbm_tcga	TCGA-32-2615	TCGA-32-2615-01	38
gbm_tcga	TCGA-32-2632	TCGA-32-2632-01	96
gbm_tcga	TCGA-32-2634	TCGA-32-2634-01	47
gbm_tcga	TCGA-32-2638	TCGA-32-2638-01	49
gbm_tcga	TCGA-41-2571	TCGA-41-2571-01	50
gbm_tcga	TCGA-41-2573	TCGA-41-2573-01	44
gbm_tcga	TCGA-41-2575	TCGA-41-2575-01	64
gbm_tcga	TCGA-41-3392	TCGA-41-3392-01	69
gbm_tcga	TCGA-06-0132	TCGA-06-0132-01	24
gbm_tcga	TCGA-06-0151	TCGA-06-0151-01	27
gbm_tcga	TCGA-06-0154	TCGA-06-0154-01	63
gbm_tcga	TCGA-06-0157	TCGA-06-0157-01	48
gbm_tcga	TCGA-06-0158	TCGA-06-0158-01	54
gbm_tcga	TCGA-06-0165	TCGA-06-0165-01	9
gbm_tcga	TCGA-06-0166	TCGA-06-0166-01	52
gbm_tcga	TCGA-06-0167	TCGA-06-0167-01	4
gbm_tcga	TCGA-06-0168	TCGA-06-0168-01	45
gbm_tcga	TCGA-06-0171	TCGA-06-0171-02	56
gbm_tcga	TCGA-06-0173	TCGA-06-0173-01	79
gbm_tcga	TCGA-06-0174	TCGA-06-0174-01	91
gbm_tcga	TCGA-06-0178	TCGA-06-0178-01	5
gbm_tcga	TCGA-06-0184	TCGA-06-0184-01	51
gbm_tcga	TCGA-06-0185	TCGA-06-0185-01	69
gbm_tcga	TCGA-06-0188	TCGA-06-0188-01	43
gbm_tcga	TCGA-06-0189	TCGA-06-0189-01	26
gbm_tcga	TCGA-06-0190	TCGA-06-0190-02	66
gbm_tcga	TCGA-06-0195	TCGA-06-0195-01	77
gbm_tcga	TCGA-06-0209	TCGA-06-0209-01	68
gbm_tcga	TCGA-06-0210	TCGA-06-0210-02	59
gbm_tcga	TCGA-06-0211	TCGA-06-0211-02	59
gbm_tcga	TCGA-06-0213	TCGA-06-0213-01	57
gbm_tcga	TCGA-06-0214	TCGA-06-0214-01	68
gbm_tcga	TCGA-06-0219	TCGA-06-0219-01	41
gbm_tcga	TCGA-06-0221	TCGA-06-0221-02	41
gbm_tcga	TCGA-06-0237	TCGA-06-0237-01	43
gbm_tcga	TCGA-06-0240	TCGA-06-0240-01	13
gbm_tcga	TCGA-06-0241	TCGA-06-0241-01	57
gbm_tcga	TCGA-06-0939	TCGA-06-0939-01	76
gbm_tcga	TCGA-14-3476	TCGA-14-3476-01	80
gbm_tcga	TCGA-14-4157	TCGA-14-4157-01	59
gbm_tcga	TCGA-16-1048	TCGA-16-1048-01	81
gbm_tcga	TCGA-19-1790	TCGA-19-1790-01	146
gbm_tcga	TCGA-19-2631	TCGA-19-2631-01	107
gbm_tcga	TCGA-19-4068	TCGA-19-4068-01	56
gbm_tcga	TCGA-26-1439	TCGA-26-1439-01	48
gbm_tcga	TCGA-32-1977	TCGA-32-1977-01	87
gbm_tcga	TCGA-32-1991	TCGA-32-1991-01	63
gbm_tcga	TCGA-32-2491	TCGA-32-2491-01	105
gbm_tcga	TCGA-32-2494	TCGA-32-2494-01	73
gbm_tcga	TCGA-32-2495	TCGA-32-2495-01	93
gbm_tcga	TCGA-32-4208	TCGA-32-4208-01	72
